Year,Vietnam,Hanoi,Cat,
2010,43.38,41.89,foodExp_totalExp,
2012,42.11,38.88,foodExp_totalExp,
2014,35.14,30.12,foodExp_totalExp,
2016,33.16,28.80,foodExp_totalExp,
2018,28.88,25.25,foodExp_totalExp,
2020,31.63,27.66,foodExp_totalExp,
2022,27.55,22.87,foodExp_totalExp,
2010,49.70,46.13,foodExp_totalInc,
2012,52.54,50.04,foodExp_totalInc,
2014,49.10,47.41,foodExp_totalInc,
2016,47.62,45.90,foodExp_totalInc,
2018,43.96,42.60,foodExp_totalInc,
2020,46.52,45.44,foodExp_totalInc,
2022,46.05,45.00,foodExp_totalInc,
2010,6.27,3.91,riceExp_House,
2012,5.53,3.45,riceExp_House,
2014,4.17,2.44,riceExp_House,
2016,3.33,1.90,riceExp_House,
2018,2.65,1.59,riceExp_House,
2020,2.58,1.47,riceExp_House,
2010,0.19,0.20,riceAfford,
2012,0.20,0.16,riceAfford,
2014,0.14,0.11,riceAfford,
2016,0.12,0.09,riceAfford,
2018,0.10,0.08,riceAfford,
2020,0.11,0.08,riceAfford,
